Iteration,Walker_Type,Walker_ID,Step,x0,x1
18,turtle,1,10,0,0
18,turtle,2,10,2,0
18,turtle,3,10,1,1
18,turtle,4,10,2,2
18,rabbit,5,10,1,1
18,turtle,0,11,1,0
18,turtle,1,11,1,0
18,turtle,2,11,1,0
18,turtle,3,11,0,1
18,turtle,4,11,2,1
18,rabbit,5,11,3,1
18,turtle,0,12,1,1
18,turtle,1,12,1,1
18,turtle,2,12,0,0
18,turtle,3,12,0,0
18,turtle,4,12,2,2
18,rabbit,5,12,3,3
18,turtle,0,13,1,0
18,turtle,1,13,1,0
18,turtle,2,13,1,0
18,turtle,3,13,1,0
18,turtle,4,13,1,2
18,rabbit,5,13,3,1
18,turtle,0,14,0,0
18,turtle,1,14,1,1
18,turtle,2,14,0,0
18,turtle,3,14,0,0
18,turtle,4,14,2,2
18,rabbit,5,14,3,3
18,turtle,0,15,0,1
18,turtle,1,15,2,1
18,turtle,2,15,1,0
18,turtle,3,15,1,0
18,turtle,4,15,1,2
18,rabbit,5,15,3,1
18,turtle,0,16,1,1
18,turtle,1,16,1,1
18,turtle,2,16,1,1
18,turtle,3,16,0,0
18,turtle,4,16,2,2
18,rabbit,5,16,3,3
18,turtle,0,17,0,1
18,turtle,1,17,1,0
18,turtle,2,17,1,0
18,turtle,3,17,0,1
18,turtle,4,17,2,3
18,rabbit,5,17,1,3
18,turtle,0,18,0,2
18,turtle,1,18,1,1
18,turtle,2,18,2,0
18,turtle,3,18,1,1
18,turtle,4,18,1,3
19,turtle,0,1,0,1
19,turtle,1,1,0,1
19,turtle,2,1,2,1
19,turtle,3,1,2,1
19,turtle,4,1,0,1
19,rabbit,5,1,3,1
19,turtle,0,2,0,0
19,turtle,1,2,1,1
19,turtle,2,2,1,1
19,turtle,3,2,3,1
19,turtle,4,2,1,1
19,rabbit,5,2,1,1
19,turtle,0,3,1,0
19,turtle,1,3,1,0
19,turtle,2,3,2,1
19,turtle,3,3,2,1
19,turtle,4,3,2,1
19,rabbit,5,3,3,1
19,turtle,0,4,1,1
19,turtle,1,4,0,0
