Iteration,Walker_Type,Walker_ID,Step,x0,x1,x2
5,turtle,3,8,0,3,0
5,turtle,4,8,2,3,0
5,rabbit,5,8,2,3,0
5,turtle,0,9,2,0,0
5,turtle,1,9,1,3,0
5,turtle,2,9,0,3,1
5,turtle,3,9,1,3,0
5,turtle,4,9,2,3,1
5,rabbit,5,9,0,3,0
5,turtle,0,10,2,1,0
5,turtle,1,10,0,3,0
5,turtle,2,10,0,3,0
5,turtle,3,10,2,3,0
5,turtle,4,10,2,2,1
5,rabbit,5,10,0,3,2
5,turtle,0,11,2,2,0
5,turtle,1,11,0,3,1
5,turtle,2,11,1,3,0
5,turtle,3,11,2,3,1
5,turtle,4,11,1,2,1
5,rabbit,5,11,0,1,2
5,turtle,0,12,1,2,0
5,turtle,1,12,1,3,1
5,turtle,2,12,0,3,0
5,turtle,3,12,1,3,1
5,turtle,4,12,1,1,1
5,rabbit,5,12,0,3,2
5,turtle,0,13,2,2,0
5,turtle,1,13,2,3,1
5,turtle,2,13,0,3,1
5,turtle,3,13,0,3,1
5,turtle,4,13,2,1,1
5,rabbit,5,13,0,1,2
5,turtle,0,14,3,2,0
5,turtle,1,14,2,3,0
5,turtle,2,14,0,3,0
5,turtle,3,14,0,3,2
5,turtle,4,14,2,0,1
5,rabbit,5,14,2,1,2
5,turtle,0,15,3,1,0
5,turtle,1,15,1,3,0
5,turtle,2,15,1,3,0
5,turtle,3,15,0,2,2
5,turtle,4,15,1,0,1
6,turtle,0,1,1,3,0
6,turtle,1,1,1,3,0
6,turtle,2,1,1,3,0
6,turtle,3,1,2,3,1
6,turtle,4,1,2,3,1
6,rabbit,5,1,0,3,0
6,turtle,0,2,2,3,0
6,turtle,1,2,2,3,0
6,turtle,2,2,2,3,0
6,turtle,3,2,2,2,1
6,turtle,4,2,2,2,1
6,rabbit,5,2,0,3,2
6,turtle,0,3,2,3,1
6,turtle,1,3,1,3,0
6,turtle,2,3,1,3,0
6,turtle,3,3,2,3,1
6,turtle,4,3,2,3,1
6,rabbit,5,3,0,1,2
6,turtle,0,4,2,3,0
6,turtle,1,4,2,3,0
6,turtle,2,4,0,3,0
6,turtle,3,4,1,3,1
6,turtle,4,4,2,2,1
6,rabbit,5,4,2,1,2
6,turtle,0,5,2,3,1
6,turtle,1,5,1,3,0
6,turtle,2,5,1,3,0
6,turtle,3,5,0,3,1
6,turtle,4,5,2,2,0
7,turtle,0,1,2,3,1
7,turtle,1,1,2,3,1
7,turtle,2,1,2,3,1
7,turtle,3,1,1,3,0
7,turtle,4,1,2,3,1
7,rabbit,5,1,0,3,0
7,turtle,0,2,2,3,0
7,turtle,1,2,2,3,0
7,turtle,2,2,2,2,1
7,turtle,3,2,2,3,0
7,turtle,4,2,2,3,0
7,rabbit,5,2,0,3,2
7,turtle,0,3,1,3,0
7,turtle,1,3,2,3,1
7,turtle,2,3,2,3,1
7,turtle,3,3,1,3,0
7,turtle,4,3,2,3,1
7,rabbit,5,3,2,3,2
7,turtle,0,4,0,3,0
7,turtle,1,4,1,3,1
7,turtle,2,4,2,3,0
7,turtle,3,4,0,3,0
7,turtle,4,4,1,3,1
7,rabbit,5,4,0,3,2
7,turtle,0,5,0,3,1
7,turtle,1,5,1,3,2
7,turtle,2,5,1,3,0
7,turtle,3,5,0,3,1
7,turtle,4,5,0,3,1
7,rabbit,5,5,2,3,2
7,turtle,0,6,0,3,2
7,turtle,1,6,0,3,2
